업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,20190310280-00,일반,가마초 급식실과 다목적강당 증축 전기,통신,소방공사 설계용역,제주특별자치도교육청 서귀포시교육지원청,제주특별자치도교육청 서귀포시교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/08 13:35(2019/03/15 10:00),마감,마감
물품,20190308710-00,일반,장흥취수장 고압비상발전기 제조구매,조달청 광주지방조달청,한국수자원공사,지명(총액),2019/03/08 13:26(2019/03/19 14:00),,마감
공사,20190310266-00,긴급,도안농공단지 공업용수 전기계측공사,충청북도 증평군,충청북도 증평군,수의(소액),2019/03/08 13:21(2019/03/14 12:00),,마감
물품,A190058010-01,일반,신고리4호기 최초연료장전 기념품 구매,한국수력원자력주식회사,한국수력원자력(주) 새울원자력본부,일반(총액),2019/03/08 12:00(2019/03/18 12:00),,한국수력원자력주식회사 이동
공사,20190307961-00,일반,2019 회전교차로 설치사업 전기공사(상일사거리),강원도 춘천시,강원도 춘천시,수의(소액),2019/03/08 11:33(2019/03/14 14:00),,마감
용역,20190235461-01,변경,주택건설공사 감리자(전기)모집 정정 공고(증산2재정비촉진구역),서울특별시 은평구,서울특별시 은평구,일반경쟁,2019/03/08 11:31(2019/03/20 10:00),,마감
물품,20190232748-01,취소,화성봉담2 A-6BL 아파트 3공구 (전기)공사-태양광발전장치,조달청 서울지방조달청,한국토지주택공사 경기지역본부,제한(총액),2019/03/08 11:16(2019/03/12 10:00),,
공사,20190309995-00,일반,선남면 농촌중심지활성화사업 전기공사,한국농어촌공사 경북지역본부 성주지사,한국농어촌공사 경북지역본부 성주지사,제한경쟁,2019/03/08 11:13(2019/03/18 10:00),,마감
공사,20190310137-00,일반,안동중앙고등학교 냉난방시설(교사동,생활관)개선사업 전기공사,경상북도교육청 안동중앙고등학교,경상북도교육청 안동중앙고등학교,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/08 11:08(2019/03/13 10:00),,마감
공사,20190310087-00,일반,북후초등학교 다목적교실 증축 전기공사,경상북도교육청 경상북도안동교육지원청,경상북도교육청 경상북도안동교육지원청,수의계약(기타),2019/03/08 10:56(2019/03/14 10:00),,마감
용역,20190310068-00,일반,주택건설공사 감리자(전기) 모집 공고(영종 미단시티 공동8BL 공동주택 신축공사),인천광역시 경제자유구역청,인천광역시 경제자유구역청,일반경쟁,2019/03/08 10:46(2019/03/19 12:00),,마감
공사,20190310023-00,일반,거점소독세척시설 신축공사[전기],강원도 춘천시 농업기술센터,강원도 춘천시 농업기술센터,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/08 10:31(2019/03/13 10:00),,마감
기타,2019030802001-01,변경,2019년 경기 공급관리소 전기안전관리대행 용역,한국가스공사,한국가스공사, ,2019/03/08 10:20(2019/03/15 11:00),,한국가스공사 이동
공사,20190308830-00,일반,제주이동노동자 혼듸쉼팡 공간 리모델링 공사 (전기),제주특별자치도,제주특별자치도,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/08 10:12(2019/03/14 10:00),,마감
용역,20190309944-00,일반,주택건설공사 감리업자(전기) 지정공고[동탄(2)_A87블록],경기도 화성시,경기도 화성시,일반경쟁,2019/03/08 10:11(2019/03/19 10:00),,마감
공사,20190309898-00,긴급,목재문화체험관 건립 전기공사,대구광역시 건설본부,대구광역시 건설본부,지역제한,2019/03/08 10:08(2019/03/14 10:00),,마감
공사,20190309810-00,일반,의령 도시계획도로(중로2-5호선)개설사업 전기공사,경상남도 의령군,경상남도 의령군,수의(소액),2019/03/08 09:31(2019/03/14 10:00),,마감
공사,20190308450-00,일반,동로초등학교 유치원교실 증축 전기공사,경상북도교육청 경상북도문경교육지원청,경상북도교육청 경상북도문경교육지원청,수의(소액),2019/03/08 09:29(2019/03/14 10:00),,마감
물품,9214991-00,일반,(수의,견적)절연이음매판 등 29점_부산경남 전기처,한국철도공사,한국철도공사,수의(총액),2019/03/08 09:09(2019/03/15 10:00),,한국철도공사 이동
공사,2019LGS00202019-02140-01,일반,OO부대 차량정비고 누수 등 개선 전기공사,육군제8군단,제2003부대,수의계약(기타),2019/03/08 09:00(2019/03/14 10:00),,육군제8군단 이동
공사,2019HDR00442019-02301-01,일반,19-55(주)-3 전환숙소 개선공사(황병)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/08 09:00(2019/03/12 10:00),,공군방공관제사령부 이동
공사,2019HDR00432019-02300-01,일반,19-55(주)-2 전환숙소 개선공사(용문)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/08 09:00(2019/03/12 10:00),,공군방공관제사령부 이동
공사,2019HDR00422019-02297-01,일반,19-55(주)-1 전환숙소 개선공사(화악)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/08 09:00(2019/03/12 10:00),,공군방공관제사령부 이동
공사,2019MCN00202019-02291-01,일반,00지역 체육시설 신축 전기공사,국방부 국방부근무지원단,국방부근무지원단,수의계약(기타),2019/03/08 09:00(2019/03/14 10:00),,국방부 국방부근무지원단 이동
물품,2019PEE00018010-02,재입찰,전투원용무전기,방위사업청,방위사업청,일반(총액),2019/03/08 09:00(2019/03/22 14:00),,방위사업청 이동
물품,2019MDG007005444-01,일반,2019년 의무장비(전기수술기 내시경용) 구매,국방부 국군의무사령부,국군의무사령부,제한(총액),2019/03/08 09:00(2019/03/18 10:00),,국방부 국군의무사령부 이동
용역,20190309722-00,일반,서울면일초 외 2교(면중초,봉화중) 냉난방개선 및 기타 전기설계용역,서울특별시교육청 서울특별시동부교육지원청,서울특별시교육청 서울특별시동부교육지원청,수의(총액)소액수의,2019/03/08 08:36(2019/03/12 10:00),,마감
용역,20190309718-00,일반,모산초등학교 다목적강당증축  전기 소방공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/08 08:30(2019/03/14 10:00),마감,마감
물품,20190302050-00,일반,통합가압장 펌프교체 전기공사 관급자재(수배전반설비),조달청,충청남도 천안시 맑은물사업소,수의(총액)농공단지,2019/03/08 07:44(2019/03/08 10:30),,
공사,201960129-00,일반,칠서(양평)휴게소 리모델링 전기공사,한국도로공사,한국도로공사 경남지역본부,제한경쟁,2019/03/08 00:00(2019/03/19 10:00),,한국도로공사 이동
물품,G011901347-00,일반,합성수지직관,200MM,3M,10.6MM 외 1종 (울산 북구지역 전기공급시설 전력구공사(율동지구 지중화)),한국전력공사,남부건설본부,제한(총액),2019/03/08 00:00(2019/03/14 10:00),,한국전력공사 이동
물품,G051900246-00,일반,제2발전소 3~6호기 발전기 Carbon Brush제,한국중부발전주식회사,사업소 보령발전본부,제한(총액),2019/03/08 00:00(2019/03/14 12:00),,한국중부발전주식회사 이동
공사,20190309161-00,일반,이웃사촌지원센터 사무실 리모델링 전기공사,경상북도 의성군,경상북도 의성군,수의(소액),2019/03/07 22:15(2019/03/13 10:00),,마감
공사,20190309596-00,일반,마리안느 마가렛 나눔연수원 태양광 발전시설 전기공사,전라남도 고흥군,전라남도 고흥군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 22:09(2019/03/13 15:00),,마감
공사,20190309240-00,긴급,기흥구청 별관 증축공사(전기),경기도 용인시 기흥구,경기도 용인시 기흥구,제한경쟁,2019/03/07 18:37(2019/03/13 10:00),,마감
공사,20190309210-00,일반,수원신갈IC 접속로 정비공사(전기),경기도 용인시,경기도 용인시,수의(소액),2019/03/07 18:21(2019/03/13 10:00),,마감
공사,20190309163-00,일반,충남대학교병원 동물이용 생물안전3등급(ABL3) 연구시설 구축공사(전기),충남대학교병원,충남대학교병원,제한경쟁,2019/03/07 18:14(2019/03/15 14:00),,마감
용역,9214984-00,일반,★전기철도분야 시공기술자 필수★2019년 전남본부 시설기계작업에 따른 전차선로 조정보수용역,한국철도공사,한국철도공사,제한(총액),2019/03/07 18:13(2019/03/15 10:00),,한국철도공사 이동
물품,20190308846-00,일반,기장수산물체험홍보관 전기공사_수배전반 및 분전반,조달청 부산지방조달청,부산광역시 기장군,수의(총액)우선구매(조달우수제품),2019/03/07 18:09(2019/03/14 12:00),,
공사,20190309060-00,일반,대합도시계획도로 소3-6호(대합초등학교앞) 개설공사(전기),경상남도 창녕군,경상남도 창녕군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 17:45(2019/03/13 12:00),,마감
공사,20190308473-00,일반,원주캠퍼스 학생회관 전기시설 보수공사,조달청 강원지방조달청,강릉원주대학교,지역제한,2019/03/07 17:45(2019/03/28 10:00),마감,마감
공사,20190309046-00,일반,창녕도시계획도로 소2-13호(조산~운동장) 개설공사(전기),경상남도 창녕군,경상남도 창녕군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 17:41(2019/03/13 12:00),,마감
공사,20190308993-00,일반,조수1리 창조적마을만들기사업 폐교정비 외 3종 리모델링 전기공사,한국농어촌공사 제주지역본부,한국농어촌공사 제주지역본부,수의(소액),2019/03/07 17:38(2019/03/18 12:00),,마감
용역,20190302271-01,변경,담양 시티투어 전기버스 민간위탁 용역,전라남도 담양군,전라남도 담양군,제한(총액)협상에의한계약,2019/03/07 17:19(-),,
공사,20190308952-00,일반,가정역 관광기반시설(펜션) 기능보강사업 전기공사,전라남도 곡성군,전라남도 곡성군,지역제한,2019/03/07 17:17(2019/03/15 14:00),,마감
공사,E011901665-00,일반,서광주지사 신축 전기공사,한국전력공사,건설지원부,일반경쟁,2019/03/07 17:09(2019/03/25 12:00),,한국전력공사 이동
용역,20190307463-00,일반,첨단과학관 승강기 설치 및 보수공사 전기분야 설계용역,전라남도교육청 전라남도과학교육원,전라남도교육청 전라남도과학교육원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 17:01(2019/03/13 10:00),,마감
공사,20190308874-00,일반,★장애인기업대상★철도교통관제센터 전기운용부 직원사무실 개량공사,한국철도공사 회계통합센터,한국철도공사 회계통합센터,수의(소액)-여성기업또는장애인기업간견적입찰(1인 견적제출 허용),2019/03/07 16:59(2019/03/13 10:00),,마감
물품,20190308820-00,일반,수술용 전기 소작기 1대 구입,화순전남대학교병원,화순전남대학교병원,제한(총액),2019/03/07 16:47(-),,
물품,20190308385-00,일반,오산소방서 청사 신축 전기공사 수배전반 구입,조달청 인천지방조달청,경기도 경기도건설본부,제한(총액),2019/03/07 16:41(2019/03/20 12:00),,마감
물품,20190308776-00,일반,범용 전기 수술기 1대 구입,화순전남대학교병원,화순전남대학교병원,제한(총액),2019/03/07 16:39(-),,
공사,20190308770-00,일반,창원시 상남동 복합공영주차타워 신축 전기공사,한국자산관리공사,한국자산관리공사,제한경쟁,2019/03/07 16:36(2019/03/25 12:00),마감,마감
공사,20190308731-00,일반,지진관측망 임시 운영실 전기공사,한국원자력안전기술원,한국원자력안전기술원,수의(소액)-여성기업간견적입찰(2인 이상 견적 제출),2019/03/07 16:29(2019/03/14 14:00),,마감
공사,20190308727-00,일반,우강3지구 배수개선사업 전기공사,한국농어촌공사 충남지역본부 당진지사,한국농어촌공사 충남지역본부 당진지사,제한경쟁,2019/03/07 16:29(2019/03/15 16:00),,마감
물품,9214981-00,일반,(수의,견적)데이터서비스유닛(네트워크채널) 2점_부산경남본부 전기처,한국철도공사,한국철도공사,수의(총액),2019/03/07 16:26(2019/03/14 10:00),,한국철도공사 이동
공사,20190308678-00,긴급,동대문구민체육센터 구조보강 및 리모델링 전기공사,서울특별시 동대문구,서울특별시 동대문구,제한경쟁,2019/03/07 16:21(2019/03/14 16:00),,마감
용역,20190308545-00,일반,용천중학교 LED조명교체공사 전기설계용역 소액수의 전자입찰 공고,경기도교육청 경기도용인교육청 용천중학교,경기도교육청 경기도용인교육청 용천중학교,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 15:57(2019/03/18 10:00),,마감
물품,20190308557-00,긴급,개별주택업무추진 차량(전기차) 구입,전라북도 군산시,전라북도 군산시,일반(총액),2019/03/07 15:37(2019/03/14 12:00),,마감
기타,2019030703001-00,일반,2019년 경기 공급관리소 전기안전관리대행 용역,한국가스공사,한국가스공사, ,2019/03/07 15:34(2019/03/15 11:00),,한국가스공사 이동
공사,20190308505-00,긴급,경북외국어고등학교 기숙사동 내진보강 및 리모델링 전기공사,경상북도교육청 경상북도구미교육지원청,경상북도교육청 경상북도구미교육지원청,제한경쟁,2019/03/07 15:30(2019/03/13 10:00),마감,마감
공사,20190306976-00,일반,전주풍남유치원 교실증축 전기공사,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,제한경쟁,2019/03/07 15:25(2019/03/15 10:00),,마감
물품,20190307742-00,일반,부산항 육상전원공급설비 설치(시범사업) 전기공사 지급자재(케이블) 제조구매,부산항만공사,부산항만공사,일반(총액),2019/03/07 15:18(2019/03/22 10:00),,마감
공사,20190307930-00,일반,천수교~희망교 및 경상대 후문 구간 자전거도로 조명설치 전기공사,경상남도 진주시,경상남도 진주시,제한경쟁,2019/03/07 15:10(2019/03/15 16:00),,마감
공사,20190307710-00,일반,대전대동초 외 1교(대전용운초) 강당 조명 교체 전기공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,수의(소액),2019/03/07 15:05(2019/03/15 10:00),,마감
용역,20190308415-00,긴급,전북 금융산업발전 기본계획 수립연구용역,전라북도,전라북도,일반(총액)협상에의한계약,2019/03/07 15:02(2019/03/18 18:00),마감,마감
용역,20190305740-01,변경,언양고 등 2교(두남중고)기숙사 스프링클러설치 전기,소방공사 설계용역,울산광역시교육청,울산광역시교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 14:44(2019/03/13 10:00),마감,마감
공사,20190308280-00,일반,오동초 소규모 옥외체육관 신축 전기공사,전라북도교육청 전라북도남원교육지원청,전라북도교육청 전라북도남원교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 14:31(2019/03/13 10:00),,마감
공사,20190307314-00,일반,대전은어송중 조명 교체 전기공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,지역제한,2019/03/07 14:28(2019/03/19 10:00),마감,마감
공사,20190307628-00,일반,원통9리 경로당 신축공사(전기),강원도 인제군,강원도 인제군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 14:23(2019/03/15 10:00),,마감
용역,20190307358-00,일반,전주금평초 외 3교 화장실증축 및 기타 전기,통신,소방공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(1인 견적제출 허용),2019/03/07 14:17(2019/03/13 10:00),마감,마감
공사,20190308157-00,일반,불정자연휴양림 인입간선 및 계량기 설치 전기공사,경상북도 문경시,경상북도 문경시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 14:07(2019/03/13 10:00),,마감
공사,20190306133-00,일반,경기 신사업창업사관학교 체험점포(신동빌딩) 전기 공사,조달청 인천지방조달청,소상공인시장진흥공단,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 14:03(2019/03/15 10:00),마감,마감
용역,20190306693-00,일반,2019 에너지서포터 운영(전기전자, 반도체 등 8개 업종군),조달청 인천지방조달청,한국에너지공단,일반(총액)협상에의한계약,2019/03/07 14:01(2019/04/17 10:00),마감,마감
공사,20190308107-00,일반,수지초 어울림활동실 신축 전기공사,전라북도교육청 전라북도남원교육지원청,전라북도교육청 전라북도남원교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 13:57(2019/03/13 10:00),,마감
공사,20190305381-00,일반,전주평화초 외 1교(서원초) 승강기 증축 및 기타 전기공사,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 13:52(2019/03/13 10:00),,마감
공사,20190305306-00,일반,전주완산초 승강기 증축 전기공사,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 13:49(2019/03/13 10:00),,마감
공사,20190305119-00,일반,전주풍남초 승강기 증축 전기공사,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 13:48(2019/03/13 10:00),,마감
물품,20190308038-00,긴급,대동 지식산업센터 전기공사 관급자재(승강기) 구매 설치,대전도시공사,대전도시공사,제한(총액),2019/03/07 13:47(2019/03/13 10:00),,마감
공사,20190307379-00,일반,풀뿌리교육자치 협력체계 구축 및 기타 전기공사,충청남도교육청 충청남도당진교육지원청,충청남도교육청 충청남도당진교육지원청,수의(소액),2019/03/07 13:46(2019/03/13 10:00),,마감
물품,9214975-00,변경,재공고,2년단가)전기기관차용 요크순정품 등 6점,한국철도공사,한국철도공사,일반(단가),2019/03/07 13:31(2019/03/14 10:00),,한국철도공사 이동
물품,9214973-00,변경,재공고,2년단가)전기기관차용 유리 1점,한국철도공사,한국철도공사,일반(단가),2019/03/07 13:28(2019/03/14 10:00),,한국철도공사 이동
물품,9214976-00,변경,재공고,2년단가)전기기관차용 집전장치 등 5점,한국철도공사,한국철도공사,일반(단가),2019/03/07 13:26(2019/03/14 10:00),,한국철도공사 이동
물품,9214977-00,변경,재공고,2년단가)전기기관차용 주회로차단기 전자변 순정품 등 2점,한국철도공사,한국철도공사,일반(단가),2019/03/07 13:21(2019/03/14 10:00),,한국철도공사 이동
용역,20190307885-00,일반,김포몽실학교 시설리모델링 전기·통신·소방공사 설계용역,경기도교육청 경기도김포교육지원청,경기도교육청 경기도김포교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 12:29(2019/03/13 10:00),,마감
용역,20190307471-00,일반,밀성초 외1교(태룡초) 화장실 보수 및 기타 공사 전기설계용역,경상남도교육청 경상남도밀양교육지원청,경상남도교육청 경상남도밀양교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 11:53(2019/03/13 10:00),,마감
공사,20190307772-00,일반,화서시장 아케이드 설치공사(전기),경기도 수원시,경기도 수원시,수의(소액),2019/03/07 11:31(2019/03/12 15:00),,마감
공사,20190307620-00,일반,군자 외 2역 승강편의시설 설치 전기공사(37공구),서울교통공사,서울교통공사,지역제한,2019/03/07 11:12(2019/03/15 10:00),,마감
용역,20190307670-00,일반,2019년 위생안전기준 인증제도 시판품 조사,환경부,환경부,제한(총액)협상에의한계약,2019/03/07 11:03(-),,
용역,20190307553-00,일반,2019년 한국소방안전원 회원홍보물(화재안전기준 포켓북, 소화기 위치표지) 제작 및 배부,한국소방안전원,한국소방안전원,제한(총액),2019/03/07 10:46(2019/03/18 11:00),,마감
물품,A011900335-00,일반,154kV 전력용변압기,부품,충격압력계전기,한국전력공사,부산울산본부,수의(총액),2019/03/07 10:45(2019/03/12 11:00),,한국전력공사 이동
공사,20190306456-00,일반,애월읍 청사 신축공사(전기),조달청 제주지방조달청,제주특별자치도 제주시 애월읍,일반경쟁,2019/03/07 10:43(2019/03/26 10:00),마감,마감
공사,20190307590-00,일반,2019년 전기설비 유지보수공사(연간단가),서울특별시 상수도사업본부 남부수도사업소,서울특별시 상수도사업본부 남부수도사업소,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 10:39(2019/03/15 12:00),,마감
물품,9214938-00,일반,(수의,견적)니켈수소전지 등 7점_부산경남 전기처,한국철도공사,한국철도공사,수의(총액),2019/03/07 10:17(2019/03/13 10:00),,한국철도공사 이동
공사,20190307508-00,일반,삼호동 일원 공영주차장 조성공사(전기),경상남도 양산시 웅상출장소,경상남도 양산시 웅상출장소,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/07 10:15(2019/03/13 10:00),,마감
용역,20190307478-00,일반,2019년 괴산지구 양수장 전기안전관리자대행 용역,한국농어촌공사 충북지역본부 괴산.증평지사,한국농어촌공사 충북지역본부 괴산.증평지사,제한(총액),2019/03/07 10:13(2019/03/13 10:00),,마감
물품,20190307444-00,일반,대신 공공하수처리시설(증설)사업 관급자재-발전기,경기도 여주시,경기도 여주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 09:57(2019/03/12 10:00),,마감
용역,20190306449-00,일반,교동초 LED조명 개선 전기공사 설계용역,경기도용인교육청 교동초등학교,경기도용인교육청 교동초등학교,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 09:29(2019/03/13 10:00),,마감
공사,20190301467-01,변경,둔포중학교 다목적강당 증축 전기공사,충청남도아산교육청 둔포중학교,충청남도아산교육청 둔포중학교,제한경쟁,2019/03/07 09:26(2019/03/12 10:00),,마감
용역,2019LKM001006709-01,일반,'19년 전기안전관리 용역,육군제2632부대,제2632부대,수의(총액),2019/03/07 09:00(2019/03/13 10:00),,육군제2632부대 이동
공사,2019HDG00302019-02237-01,일반,고압선로 시설개선 전기공사 등 3건,공군제10전투비행단,공군제10전투비행단,제한경쟁,2019/03/07 09:00(2019/03/13 10:30),,공군제10전투비행단 이동
공사,2019HDR00352019-02256-01,일반,19-55(주)-3 전환숙소 개선공사(황병)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/07 09:00(2019/03/11 10:00),,공군방공관제사령부 이동
공사,2019HDR00342019-02252-01,일반,19-55(주)-2 전환숙소 개선공사(용문)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/07 09:00(2019/03/11 10:00),,공군방공관제사령부 이동
공사,2019HDR00332019-02243-01,일반,19-55(주)-1 전환숙소 개선공사(화악)-전기,공군방공관제사령부,공군방공관제사령부,수의계약(기타),2019/03/07 09:00(2019/03/11 10:00),,공군방공관제사령부 이동
공사,2019SCK00112019-02283-01,일반,19-19 기행교 세면장 등 5개소 전기공사,국방부 해군교육사령부,해군교육사령부,수의계약(기타),2019/03/07 09:00(2019/03/13 10:00),,국방부 해군교육사령부 이동
공사,2019SCK00092019-02278-01,일반,19-19 기행교 새면장 등 5개소 전기공사,국방부 해군교육사령부,해군교육사령부,수의계약(기타),2019/03/07 09:00(2019/03/13 10:00),,국방부 해군교육사령부 이동
공사,2019LKM00242019-02273-01,일반,106연대 통신실 개선공사(전기),육군제2632부대,제2632부대,수의계약(기타),2019/03/07 09:00(2019/03/13 10:00),,육군제2632부대 이동
공사,2019LKM00222019-02271-01,일반,105-2대대 법사면 보강공사 등 2건(전기),육군제2632부대,제2632부대,수의계약(기타),2019/03/07 09:00(2019/03/13 10:00),,육군제2632부대 이동
공사,2019LKD00112019-02205-01,일반,(대)1115단 면회공간 환경개선 전기공사,육군제2162부대,제2162부대,수의계약(기타),2019/03/07 09:00(2019/03/13 10:00),,육군제2162부대 이동
물품,2019SCF009306701-01,일반,케이블 조립체,특수목적용,전기용 등 4종,해군군수사령부,해군군수사령부,수의(총액),2019/03/07 09:00(2019/03/13 10:00),,해군군수사령부 이동
공사,20190307237-00,일반,목포혜인여자중학교 별관동 교과교실 개축 및 옹벽 전기공사,전라남도목포교육청 목포혜인여자중학교,전라남도목포교육청 목포혜인여자중학교,수의(소액),2019/03/07 08:25(2019/03/15 10:00),,마감
공사,20190307283-00,일반,석곡면 전기마을 배수로 정비공사,전라남도 곡성군,전라남도 곡성군,수의(소액),2019/03/07 07:59(2019/03/12 14:00),,마감
공사,20190307269-00,긴급,김천부항댐 수변경관 전기공사,경상북도 김천시,경상북도 김천시,지역제한,2019/03/07 06:26(2019/03/15 12:00),,마감
공사,20190307266-00,긴급,하동신역 연결도로 전기공사,경상남도 하동군,경상남도 하동군,지역제한,2019/03/07 00:21(2019/03/12 10:00),,마감
물품,G011901325-00,일반,충전기(380V,125V,75A,축전지용,3상,연속)외1종(강원,경기북부),한국전력공사,자재처,제한(총액),2019/03/07 00:00(2019/03/15 10:00),,한국전력공사 이동
물품,G011901322-00,일반,충전기(380V,125V,75A,축전지용,3상,연속 등)(인천,서울,남서울),한국전력공사,자재처,제한(총액),2019/03/07 00:00(2019/03/15 10:00),,한국전력공사 이동
물품,G011901321-00,일반,과전류 계전기(과전류보호용,강반한시형) 12EA,한국전력공사,인천본부,제한(총액),2019/03/07 00:00(2019/03/13 12:00),,한국전력공사 이동
물품,G011901312-00,일반,OLTC 보호계전기,96T,한국전력공사,부산울산본부,일반(총액),2019/03/07 00:00(2019/03/14 11:00),,한국전력공사 이동
물품,G061900255-00,일반,GT 발전기 차단기실 항온항습기 설치조건부 구매,한국남동발전(주),사업소 분당발전본부,제한(총액),2019/03/07 00:00(2019/03/15 12:00),,한국남동발전(주) 이동
물품,G011901292-00,일반,154kV 변압기부품(96T,OLTC보호계전기)12EA-금릉SS외,한국전력공사,자재처,제한(총액),2019/03/07 00:00(2019/03/15 14:00),,한국전력공사 이동
용역,20190307092-00,일반,김해 지혜의바다 설립 전기,통신,소방 설계용역 수의계약 안내 공고,경상남도교육청,경상남도교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/06 19:45(2019/03/12 10:00),마감,마감
공사,20190306967-00,일반,국도45호선 광주 고산교차로 병목지점개선 전기공사,국토교통부 서울지방국토관리청 수원국토관리사무소,국토교통부 서울지방국토관리청 수원국토관리사무소,제한경쟁,2019/03/06 18:34(2019/03/14 10:00),,마감
물품,20190305989-00,일반,판교창조경제밸리 A1BL 행복주택 3공구 (전기)공사-디젤발전기,조달청 서울지방조달청,한국토지주택공사 경기지역본부,제한(총액),2019/03/06 18:22(2019/03/19 10:00),,마감
용역,20190306923-00,일반,2019년 수원국토 관내 전기시설 개선공사 실시설계용역,국토교통부 서울지방국토관리청 수원국토관리사무소,국토교통부 서울지방국토관리청 수원국토관리사무소,제한경쟁,2019/03/06 18:15(2019/03/14 10:00),,마감
공사,20190306800-00,일반,송탄근린공원 지산게이트볼장 전기공사,경기도 평택시,경기도 평택시,수의(소액),2019/03/06 18:10(2019/03/12 10:00),,마감
용역,20190306912-00,일반,2019 나와 함께한 건축 스토리텔링 공모전 기획 및 전시운영 용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2019/03/06 18:09(-),,
공사,20190303817-00,일반,평송지하보도 전기(기계)정비공사,대전광역시 서구,대전광역시 서구,수의(소액),2019/03/06 17:56(2019/03/12 14:00),,마감
공사,20190305711-01,취소,영등포아리수정수센터 전기설비 유지보수공사,서울특별시 상수도사업본부 영등포아리수정수센터,서울특별시 상수도사업본부 영등포아리수정수센터,제한경쟁,2019/03/06 17:54(2019/03/14 12:00),,
공사,20190306822-00,일반,남이도시계획시설(도로:소2-60호) 조성공사(전기),경기도 용인시,경기도 용인시,수의(소액),2019/03/06 17:49(2019/03/12 10:00),,마감
공사,20190306799-00,일반,영등포아리수정수센터 전기설비 유지보수공사,서울특별시 상수도사업본부 영등포아리수정수센터,서울특별시 상수도사업본부 영등포아리수정수센터,제한경쟁,2019/03/06 17:47(2019/03/14 12:00),,마감
용역,20190306809-00,일반,2019년 보안등 전기안전점검 용역,충청남도 서산시,충청남도 서산시,수의(총액)소액수의,2019/03/06 17:46(2019/03/12 10:00),,마감
공사,20190306766-00,일반,서울대학교병원 쓰레기종합처리장 증축공사(전기),서울대학교병원,서울대학교병원,지역제한,2019/03/06 17:36(2019/03/14 10:00),,마감
공사,20190301453-00,일반,정읍시 공공실버주택 건립 전기공사(장기계속),조달청 전북지방조달청,전라북도 정읍시,일반경쟁,2019/03/06 17:31(2019/04/02 10:00),마감,마감
공사,20190306716-00,일반,성암지구 수리시설개보수사업 전기공사,한국농어촌공사 경북지역본부 의성.군위지사,한국농어촌공사 경북지역본부 의성.군위지사,제한경쟁,2019/03/06 17:27(2019/03/15 10:00),,마감
